                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.0354,                 1.0118,                 1.2237,                0.91457,                0.84656,                0.92032,                0.70404,                0.91051,                 0.7024,                 1.0934,             0.00039607,             0.00039607,             0.00039607
                     67,                 1.0195,                0.97722,                  1.202,                0.91119,                0.84423,                 0.9203,                0.70967,                0.89833,                0.70032,                 1.0868,             0.00038507,             0.00038507,             0.00038507
                     68,                 1.0036,                0.97048,                 1.1928,                0.90307,                0.85223,                0.92203,                0.70438,                0.90921,                0.71065,                 1.0962,             0.00037407,             0.00037407,             0.00037407
                     69,                 1.0227,                0.96362,                  1.208,                0.91812,                0.85246,                0.92574,                0.71012,                0.90164,                0.68243,                 1.0874,             0.00036307,             0.00036307,             0.00036307
                     70,                 1.0058,                0.95828,                 1.1921,                0.92483,                0.85373,                0.93027,                0.71949,                0.88085,                0.65825,                 1.0671,             0.00035208,             0.00035208,             0.00035208
                     71,                  1.011,                0.96023,                 1.1969,                0.92465,                0.85519,                0.93023,                 0.7244,                0.86956,                0.64674,                 1.0644,             0.00034108,             0.00034108,             0.00034108
                     72,                0.99227,                  0.935,                 1.1789,                0.92303,                0.85937,                 0.9313,                0.72642,                0.87445,                0.64968,                  1.064,             0.00033008,             0.00033008,             0.00033008
                     73,                 1.0232,                0.96392,                 1.2005,                0.92996,                0.86163,                0.93554,                0.73342,                0.85371,                0.63356,                 1.0515,             0.00031908,             0.00031908,             0.00031908
                     74,                 0.9916,                0.94725,                 1.1826,                0.92404,                0.87538,                0.93532,                0.72966,                0.85992,                0.65497,                 1.0552,             0.00030808,             0.00030808,             0.00030808
                     75,                0.95336,                0.91294,                 1.1671,                0.92384,                0.86804,                 0.9356,                0.73661,                 0.8424,                0.62575,                 1.0466,             0.00029708,             0.00029708,             0.00029708
                     76,                0.97103,                0.90433,                 1.1633,                0.93873,                0.85745,                 0.9374,                0.73782,                0.84137,                0.62433,                 1.0419,             0.00028608,             0.00028608,             0.00028608
                     77,                0.97671,                0.93029,                 1.1756,                0.92986,                0.87594,                0.94039,                0.74221,                0.83984,                0.62082,                 1.0396,             0.00027508,             0.00027508,             0.00027508
                     78,                 0.9443,                0.90765,                 1.1672,                0.94007,                0.87558,                0.94065,                0.74193,                0.82566,                  0.625,                 1.0316,             0.00026408,             0.00026408,             0.00026408
                     79,                0.95456,                0.88363,                 1.1527,                0.93548,                 0.8815,                0.94283,                  0.754,                0.81306,                0.60127,                 1.0283,             0.00025309,             0.00025309,             0.00025309
                     80,                0.95218,                0.89416,                 1.1567,                0.93077,                0.87735,                 0.9429,                0.75165,                0.81574,                0.59931,                 1.0292,             0.00024209,             0.00024209,             0.00024209
                     81,                0.95421,                0.88606,                 1.1601,                0.94002,                0.86949,                0.94288,                0.75763,                0.79198,                0.59767,                 1.0134,             0.00023109,             0.00023109,             0.00023109
